Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
AlCoCrFeMo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,796,,,,,,,
AlCoCrFeMo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2757,3,,
(CuMnNi)75Zn25,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,147,,,,215,60,,
(CuMnNi)80Zn20,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,109,,,,140,65,,
(CuMnNi)90Al10,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,241,,,,515,40,,
(CuMnNi)90Sn10,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,318,,,,630,20,,
(CuMnNi)95Al5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,166,,,,330,45,,
(CuMnNi)95Sn5,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,205,,,,380,63,,
(FeCrNiCo)Al0.75Cu0.25 +10vol%TiC ,,NA,NA,NA,NA,NA,,NA,missing ref,,,,,2972,31.8,y,
0 wt.% TiZrNbTa/Ti ,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,586,,y,
10 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,798,34.4,y,
20 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1007,16.1,y,
30 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1123,5.8,y,
40 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1275,5.5,y,
50 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1345,21.7,y,
60 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1426,22.3,y,
70 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1614,13,y,
80 wt.% TiZrNbTa/Ti,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1835,5.8,y,
90 wt.% TiZrNbTa/Ti ,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2022.143488 ,,,,,1849,2.1,y,
Al0.10CoCrFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,180,,,,,,,
Al0.20CoCrFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,171,220,,56,,,,
Al0.25CoCrCu0.75FeNiTi0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,750,39,,
AlCoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,395,,,,,,,
AlCoCrFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,433,,,,,,,
Al0.25CoFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,138,,,,158,,,
