Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
Al0.75CoFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,385,,,,794,,,
Al0.75HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,427,,,,1415,30,,
Al0.75MoNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,517,,,,1260,8,,
Al0.7Co0.3CrFeNi,FCC + BCC + B2,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,624,,,,2033,8,,
Al0.81CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,539,,,,,,,
Al0.88CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,533,,,,,,,
Al0.8CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,271,,,,,,,
Al0.95CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,535,,,,,,,
Al1.125CuFe0.75NiTi1.125,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,516,,,,980,7,,
Al1.25CoCrFeMnNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,539,,,,,,,
Al1.25CrFeNi ,BCC+B3,0,1,0,0,0,,NA,https://doi.org/10.1016/j.jallcom.2022.165441 ,421.8,1194.8,,,1285.5,8.6,,
Al1.3CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,476,,,,,,,
Al1.3CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,470,,,,,,,
Al1.5CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,510,,,,,,,
Al1.5CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,506,,,,,,,
Al1.5CoCrFeMo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,655,,,,,,,
Al1.5CoCrFeNiTi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,10,,
Al1.5CrFeNi ,BCC+B4,0,1,0,0,0,,NA,https://doi.org/10.1016/j.jallcom.2022.165441 ,425.2,1148.6,,,1309.9,9.1,,
Al1.75CrFeNi ,BCC+B5,0,1,0,0,0,,NA,https://doi.org/10.1016/j.jallcom.2022.165441 ,482.9,1276.9,,,1911.9,18.9,,
Al1.8CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,557,,,,,,,
Al1.8CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,650,,,,,,,
Al11.1(CoCrCuFeMnNiTiV)88.9,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1862,1,,
Al2.0CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,567,,,,,,,
Al2.3CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,603,,,,,,,
Al2.3CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,600,,,,,,,
Al2.5CoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,624,,,,,,,
Al2.5CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,620,,,,,,,
Al2.5CoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,487,,,,,,,
Al2.8CoCrCuFe,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,657,,,,,,,
Al2.8CoCrCuFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,650,,,,,,,
Al20(CoCrCuFeMnNiTiV)80,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1465,2,,
Al22.5Cu20Fe15Ni20Ti22.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,516,,,,980,7,,
Al2CoCrCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,560,,,,1620,,,
Al2CoCrFeMo0.5Ni,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,605,,,,,,,
Al2CoCrFeNiTi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,643,,,,,5,,
Al3.0CoCrCuFe,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,644,,,,,,,
Al3CoCrCuFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,640,,,,,,,
Al3CoCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,506,,,,,,,
Al40(CoCrCuFeMnNiTiV)60,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1461,1,,
Al8Cu0.5Li0.5Mg0.5Zn0.5,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,488,17,,
Al8Li0.5Mg0.5Sn0.5Zn0.5,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,415,16,,
AlC0.1CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,957,11,,
AlC0.2CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,906,9,,
AlC0.3CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,867,8,,
AlC0.4CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1056,7,,
AlC0.5CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1060,6,,
AlC1.5CoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1255,6,,
AlCCoCrFeNi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1251,7,,
AlCo0.5CrFeMo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,801,,,,,,,
AlCo1.5CrFeMo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,741,,,,,,,
AlCo2CrFeMo0.5Ni,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,586,,,,,,,
AlCoCrCuFe,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,407,,,,,,,
AlCoCrCuFeMnNi,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1005,15,,
AlCoCrCuFeNiTi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1234,9,,
AlCoCrCuFeNiV,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1469,16,,
AlCoCrCuNiTi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,8,,
AlCoCrCuNiTiY,Im,0,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,4,,
AlCoCrCuNiTiY0.5,Im,0,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,3,,
AlCoCrCuNiTiY0.8,Im,0,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,5,,
AlCoCrFe0.5Mo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,755,,,,,,,
AlCoCrFe0.6Mo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,754,,,,,,,
AlCoCrFe1.5Mo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,635,,,,,,,
AlCoCrFe2Mo0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,639,,,,,,,
AlCoCrFeMo0.1Ni,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1804,9,,
AlCoCrFeMo0.2Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2456,3,,
AlCoCrFeMo0.3Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2649,3,,
AlCoCrFeMo0.4Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2670,3,,
AlCoCrFeMo0.5,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,857,,,,,,,
AlCoCrFeMo0.5Ni0.5,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,708,,,,,,,
AlCoCrFeMo0.5Ni1.5,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,586,,,,,,,
AlCoCrFeMo0.5Ni2,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,395,,,,,,,
AlCoCrFeNb0.1Ni,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,569,,,,1641,17,,
AlCoCrFeNb0.25Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,668,,,,1959,11,,
AlCoCrFeNb0.5Ni,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,747,,,,2473,4,,
AlCoCrFeNiSi0.2,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1265,14,,
AlCoCrFeNiSi0.4,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1481,13,,
AlCoCrFeNiSi0.6,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1834,3,,
AlCoCrFeNiSi0.8,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2179,2,,
AlCoCrFeNiTi1.5,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,2220,5,,
AlCoCrFeNiTiVZr,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,780,,,,,,,
AlCoCrFeTi0.5,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,943.7,1160,,,,0,,
AlCoCrFeTi0.5Ni,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,761,1990,,,,14,,
AlCoCrFeTi0.5Ni1.5,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,723,1920,,,,15,,
AlCoCrFeTi0.5Ni2,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,612,1800,,,,17.7,,
AlCoCrFeTi0.5Ni2.5,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,566,1410,,,,31.8,,
AlCoCrFeTi0.5Ni3,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142194 ,503,1090,,,,36.9,,
AlCoCuFeNbNi,Im,0,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,578,,,,,,,
AlCoCuFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,536,,,,,,,
AlCoCuFeNiSi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,682,,,,,,,
AlCoCuFeNiTi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,626,,,,,,,
AlCoCuFeNiZr,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,472,,,,,,,
AlCoFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,456,,,,964,,,
AlCoFeNiTiVZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,790,,,,,,,
AlCrCuFeNi0.6,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,496,,,,,,,
AlCrCuFeNi0.8,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,486,,,,,,,
AlCrCuFeNi1.2,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,407,,,,,,,
AlCrCuFeNi1.4,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,367,,,,,,,
AlCrCuFeNiTi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,,,
AlCrFeCoNiCuMn,,NA,NA,NA,NA,NA,,NA,dx.doi.org/10.1016/j.matchar.2016.02.018,,,,,1005,15,,
AlCrFeCoNiCuTi,,NA,NA,NA,NA,NA,,NA,dx.doi.org/10.1016/j.matchar.2016.02.018,,,,,1234,9,,
AlCrFeNi,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,472,,,,1406,29,,
AlCrFeNi ,BCC+B2 ,0,1,0,0,0,,NA,https://doi.org/10.1016/j.jallcom.2022.165441 ,457.9,1244.8,,,1716,17.6,,
AlCrFeNiMo,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,905,,,,,,,
AlCrFeNiMo0.2,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,549,,,,1487,29,,
AlCrFeNiMo0.5Ti0.25,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,712,,,,2161.7,14.3,,
AlCrFeNiMo0.5Ti0.4,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,731.9,,,,2185.1,14.8,,
AlCrFeNiMo0.5Ti0.5,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,751.7,,,,2228.7,10.4,,
AlCrFeNiMo0.5Ti0.6,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,756.1,,,,1314.5,,,
AlCrFeNiMo0.5Ti0.75,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,766.2,,,,618.8,,,
AlCrFeNiMo0.8,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,854,,,,1513,1,,
AlCuFeNiTi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,516,,,,1074,8,,
AlCuNiTi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,537,,,,300,1,,
AlFeNiTiVZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,800,,,,,,,
AlLi0.5MgSn0.2Zn0.5,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,546,,,
AlLiMg0.5ScTi1.5,FCC + HCP,1,0,0,1,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,591,,,,,,,
AlLiMgSnZn,FCC + HCP + Im,1,0,1,1,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,600,1,,
AlMo0.5NbTa0.5TiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,591,,,,2000,10,,
AlMoNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,537,,,,1375,3,,
AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,408,,,,1280,4,,
AlNbTaTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,993,,,
C0 Fe40.4Ni11.3Mn34.8Al7.5Cr6,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,159,535,40.8,,,,
C0.07Fe40.4Ni11.3Mn34.8Al7.5Cr7,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,171,674,51.6,,,,
C0.16Fe40.4Ni11.3Mn34.8Al7.5Cr8,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,181,713,52.2,,,,
C0.30Fe40.4Ni11.3Mn34.8Al7.5Cr9,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,208,762,48.2,,,,
C0.55Fe40.4Ni11.3Mn34.8Al7.5Cr10,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,274,960,52.3,,,,
C1.10Fe40.4Ni11.3Mn34.8Al7.5Cr11,FCC,1,0,0,0,0,,NA,dx.doi.org/10.1016/j.actamat.2016.08.072,,355,1174,49.5,,,,
Co1.5CrFeNi1.5Ti,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,654,,,,,,,
Co1.5CrFeNi1.5Ti0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,509,,,,,,,
Co85Cr85Fe85Al85Ni15,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,615,,,,,,,
Co90Cr90Fe90Al90Ni10,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,610,,,,,,,
Co90Cr90Fe90Mn90Ni10,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,153,246,450,18.2,,,,
CoCrCu0.5FeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,172,,,,,,,
CoCrCuFe,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,134,,,,,,,
CoCrCuFeMnNiTiV,FCC + BCC + Im,1,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1312,1,,
CoCrCuFeNiTi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1272,2,,
CoCrCuFeNiTi0.8,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1042,3,,
CoCrCuFeNiTiVZr,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,680,,,,,,,
CoCrFeAlNi,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,226,,600,40,,,,
CoCrFeAlNi1.5,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,795,1150,3.1,,,,
CoCrFeAlNi2,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,680,1130,21.2,,,,
CoCrFeAlNi2.5,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,470,900,25.3,,,,
CoCrFeAlNi3,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,387,810,31.2,,,,
CoCrFeAlNi4,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,,312,660,39,,,,
CoCrFeMn,FCC+BCC,1,1,0,0,0,,NA,dx.doi.org/10.1016/j.intermet.2016.09.003,528,338,795,4.3,,,,
CoCrFeMnNi100,FCC+BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.intermet.2021.10723,639.79,1690,1200,,3870,27.5,,
CoCrFeMnNiV1.0,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,650,,,,1660,1,,
CoCrFeMo0.5Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,210,,,,,,,
CoCrFeMoNiTiVZr,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,850,,,,,,,
CoCrFeNb0.103Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,318,622,19,,,,
CoCrFeNb0.155Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,322,744,23,,,,
CoCrFeNb0.206Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,403,807,9,,,,
CoCrFeNb0.309Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,479,879,4,,,,
CoCrFeNb0.412Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,638,1004,1,,,,
CoCrFeNi ,SP-FCC(FCC),1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,173.6,,527.3,,,,,
CoCrFeNiCu,SP-FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,152.9,,558.3,,,,,
CoCrFeNiGe0.1,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.intermet.2021.107167,113,213,592,60.2,,,,
CoCrFeNiGe0.2,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.intermet.2021.107167,118,218,596,62.8,,,,
CoCrFeNiGe0.3,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.intermet.2021.107167,119,223,617,63.2,,,,
CoCrFeNiHf,MP-IM(BCC+C36),0,1,1,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,586.1,,1209,,,,,
CoCrFeNiMo0.4,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153 ,,420,646,24.1,,,,
CoCrFeNiNb0.103,fcc + laves,1,0,1,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.005,,317,622,19.2,,,,
CoCrFeNiNb0.155,fcc + laves,1,0,1,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.006,,321,744,23.3,,,,
CoCrFeNiNb0.1Mo0.3,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153 ,,426,714,17.4,,,,
CoCrFeNiNb0.206,fcc + laves,1,0,1,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.007,,402,807,8.6,,,,
CoCrFeNiNb0.2Mo0.2,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153 ,,510,763,10,,,,
CoCrFeNiNb0.309,fcc + laves,1,0,1,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.008,,478,879,3.5,,,,
CoCrFeNiNb0.3Mo0.1,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153 ,,692,894,7.5,,,,
CoCrFeNiNb0.4,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153 ,,618,645,4.4,,,,
CoCrFeNiNb0.412,fcc + laves,1,0,1,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.009,,637,1004,1.3,,,,
CoCrFeNiZr,MP-IM(BCC+C15),0,1,1,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,616.5,,1133.3,,,,,
CoCrFeNiZr0,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.08.062 ,,180,,,no fracture,no fracture,,
CoCrFeNiZr0.25,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.08.062 ,,655,,,2765,50,,
CoCrFeNiZr0.5,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.08.062 ,,1649,,,2088,4.8,,
CoCrFeNiZr1,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.08.062 ,,,,,1598,1.2,,
CoCrMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,282,694,44,,,,
CoCrNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,300,860,60,,,,
CoCuFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,208,,478,14,,,,
CoCuFeMnNiSn0.03,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,192,,465,18,,,,
CoCuFeMnNiSn0.05,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,205,,475,12,,,,
CoCuFeMnNiSn0.08,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,219,,425,7,,,,
CoCuFeMnNiSn0.10,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,253,,470,6,,,,
CoCuFeMnNiSn0.20,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,319,,368,2,,,,
CoCuFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,480,15,,,,
CoCuFeNiSn0.02,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,548,17,,,,
CoCuFeNiSn0.04,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,594,18,,,,
CoCuFeNiSn0.05,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,615,20,,,,
CoCuFeNiSn0.07,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,632,19,,,,
CoCuFeNiSn0.1,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,602,5,,,,
CoCuFeNiSn0.2,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,261,2,,,,
CoCuFeNiTiVZr,,NA,NA,NA,NA,NA,,NA,https://doi.org/10.1016/j.dib.2018.11.111,630,,,,,,,
CoFeMnNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,170,550,41,,,,
CoFeMo0.2NiV,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,267,,,,,,,
